mass,Int
745.9848633,10681.7
746.034668,10201
746.0844727,9925.51
746.1342773,10094
746.1841431,10986.6
746.2339478,12591.6
746.2837524,16222.9
746.3335571,25471.6
746.3834229,48502.8
746.4332275,77159
746.4830322,104907
746.5328369,97835.5
746.5826416,43910.3
746.6325073,20618.9
746.682312,14008.3
746.7321167,12062.9
746.7819214,11641.6
746.8317871,11619.5
746.8815918,10957.7
746.9313965,10390.8
746.9812012,9865.46
747.0310669,9566.32
747.0808716,9262.84
747.1306763,9398.18
747.180481,10286
747.2303467,12106.3
747.2801514,17474.3
747.3299561,30837.4
747.3797607,53352
747.4296265,77644.8
747.4794312,96632.2
747.5292358,87294.1
747.5790405,43269.2
747.6288452,20672.6
747.6787109,14097.2
747.7285156,11918.6
747.7783203,11326.3
747.828125,11240.7
747.8779907,10643.3
747.9277954,10087.2
747.9776001,9866.9
748.0274048,9846.86
748.0772705,9959.8
748.1270752,9554.61
748.1768799,9898.11
748.2266846,11406.5
748.2765503,15451.7
748.326355,26228.4
748.3761597,46262.7
748.4259644,65945.1
748.4758301,74700.2
748.5256348,58925
748.5754395,31794.3
748.6252441,17592.1
748.6750488,12601
748.7249146,11005.7
748.7747192,10420.9
748.8245239,10271.2
748.8743286,9999.92
748.9241943,9653.35
748.973999,9482.72
749.0238037,9342.47
749.0736084,9385.52
749.1234741,9489.37
749.1732788,10018
749.2230835,11154
749.2728882,14105.2
749.3227539,22818
749.3725586,39517.3
749.4223633,53557.3
749.472168,57397.7
749.5220337,46274
749.5718384,26966.2
749.6216431,16096.3
749.6714478,12131.4
749.7212524,10715
749.7711182,10318.3
749.8209229,10228.8
749.8707275,10060.6
749.9205322,9901.39
749.9703979,9868.61
750.0202026,9745.7
750.0700073,9585.41
750.119812,9804.25
750.1696777,10326.3
750.2194824,11638.8
750.2692871,14594.6
750.3190918,21812
750.3689575,35427
750.4187622,47337.5
750.4685669,53850
750.5183716,46288.3
750.5681763,31050.7
750.618042,17778.8
750.6678467,12892.2
750.7176514,11240.6
750.7674561,10910.5
750.8173218,10846.3
750.8671265,10766.3
750.9169312,10463
750.9667358,10221.7
751.0166016,9862.92
751.0664063,9624.38
751.1162109,9809.06
751.1660156,10678.3
751.2158813,12301.3
751.265686,15344.7
751.3154907,22606.2
751.3652954,37910.2
751.4151611,54098.2
